id,image_path,true,pred,correct,invalid,generated_text,returncode,wall_s,raw_log_path,mtmd_encode_ms,prompt_eval_ms,prompt_eval_tokens,decode_eval_ms,decode_eval_tokens,total_ms,total_tokens
stop_00003,data/hagrid_day1/images/stop/stop_00003.jpg,stop,stop,True,False,stop,0,14.148851291000028,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0000_stop_stop_00003.txt,8608.0,,,,,,
fist_00001,data/hagrid_day1/images/fist/fist_00001.jpg,fist,fist,True,False,fist,0,14.161643687999913,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0001_fist_fist_00001.txt,8575.0,,,,,,
two_up_00001,data/hagrid_day1/images/two_up/two_up_00001.jpg,two_up,peace,False,False,peace,0,13.800265153000055,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0002_two_up_two_up_00001.txt,8494.0,,,,,,
palm_00000,data/hagrid_day1/images/palm/palm_00000.jpg,palm,four,False,False,four,0,13.829853835999984,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0003_palm_palm_00000.txt,8527.0,,,,,,
mute_00004,data/hagrid_day1/images/mute/mute_00004.jpg,mute,mute,True,False,mute,0,13.807699085999957,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0004_mute_mute_00004.txt,8512.0,,,,,,
palm_00003,data/hagrid_day1/images/palm/palm_00003.jpg,palm,stop,False,False,stop,0,13.799492824000026,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0005_palm_palm_00003.txt,8504.0,,,,,,
two_up_00003,data/hagrid_day1/images/two_up/two_up_00003.jpg,two_up,peace,False,False,peace,0,11.807035627999994,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0006_two_up_two_up_00003.txt,6615.0,,,,,,
four_00001,data/hagrid_day1/images/four/four_00001.jpg,four,four,True,False,four,0,13.756737230999988,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0007_four_four_00001.txt,8510.0,,,,,,
rock_00001,data/hagrid_day1/images/rock/rock_00001.jpg,rock,peace,False,False,peace,0,13.754790435999894,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0008_rock_rock_00001.txt,8463.0,,,,,,
two_up_inverted_00004,data/hagrid_day1/images/two_up_inverted/two_up_inverted_00004.jpg,two_up_inverted,two_up,False,False,two_up,0,14.07251025200003,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0009_two_up_inverted_two_up_inverted_00004.txt,8594.0,,,,,,
peace_00001,data/hagrid_day1/images/peace/peace_00001.jpg,peace,peace,True,False,peace,0,13.787059719999888,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0010_peace_peace_00001.txt,8524.0,,,,,,
stop_00004,data/hagrid_day1/images/stop/stop_00004.jpg,stop,stop,True,False,stop,0,13.951433097000063,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0011_stop_stop_00004.txt,8550.0,,,,,,
peace_00000,data/hagrid_day1/images/peace/peace_00000.jpg,peace,peace,True,False,peace,0,13.988411945999815,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0012_peace_peace_00000.txt,8531.0,,,,,,
like_00003,data/hagrid_day1/images/like/like_00003.jpg,like,like,True,False,like,0,13.769609305000358,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0013_like_like_00003.txt,8502.0,,,,,,
three_00003,data/hagrid_day1/images/three/three_00003.jpg,three,peace,False,False,peace,0,13.946051010000247,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0014_three_three_00003.txt,8619.0,,,,,,
stop_inverted_00001,data/hagrid_day1/images/stop_inverted/stop_inverted_00001.jpg,stop_inverted,no_gesture,False,False,no_gesture,0,37.261180657000295,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0015_stop_inverted_stop_inverted_00001.txt,8562.0,,,,,,
two_up_00004,data/hagrid_day1/images/two_up/two_up_00004.jpg,two_up,two_up,True,False,two_up,0,13.99500032900005,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0016_two_up_two_up_00004.txt,8539.0,,,,,,
stop_inverted_00002,data/hagrid_day1/images/stop_inverted/stop_inverted_00002.jpg,stop_inverted,stop,False,False,stop,0,13.675709315000404,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0017_stop_inverted_stop_inverted_00002.txt,8500.0,,,,,,
dislike_00002,data/hagrid_day1/images/dislike/dislike_00002.jpg,dislike,dislike,True,False,dislike,0,13.859953878999931,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0018_dislike_dislike_00002.txt,8569.0,,,,,,
two_up_inverted_00003,data/hagrid_day1/images/two_up_inverted/two_up_inverted_00003.jpg,two_up_inverted,two_up_inverted,True,False,two_up_inverted,0,13.994763573,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0019_two_up_inverted_two_up_inverted_00003.txt,8451.0,,,,,,
like_00002,data/hagrid_day1/images/like/like_00002.jpg,like,like,True,False,like,0,13.604797455999687,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0020_like_like_00002.txt,8479.0,,,,,,
stop_inverted_00000,data/hagrid_day1/images/stop_inverted/stop_inverted_00000.jpg,stop_inverted,stop,False,False,stop,0,13.663103992999822,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0021_stop_inverted_stop_inverted_00000.txt,8484.0,,,,,,
palm_00004,data/hagrid_day1/images/palm/palm_00004.jpg,palm,stop,False,False,stop,0,13.554381026000101,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0022_palm_palm_00004.txt,8456.0,,,,,,
like_00000,data/hagrid_day1/images/like/like_00000.jpg,like,like,True,False,like,0,13.683405183000104,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0023_like_like_00000.txt,8490.0,,,,,,
fist_00002,data/hagrid_day1/images/fist/fist_00002.jpg,fist,fist,True,False,fist,0,13.853327905999777,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0024_fist_fist_00002.txt,8502.0,,,,,,
peace_00004,data/hagrid_day1/images/peace/peace_00004.jpg,peace,peace,True,False,peace,0,13.69668413799991,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0025_peace_peace_00004.txt,8489.0,,,,,,
four_00003,data/hagrid_day1/images/four/four_00003.jpg,four,ok,False,False,ok,0,13.630592930000148,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0026_four_four_00003.txt,8504.0,,,,,,
one_00003,data/hagrid_day1/images/one/one_00003.jpg,one,one,True,False,one,0,13.703306644999884,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0027_one_one_00003.txt,8544.0,,,,,,
peace_inverted_00001,data/hagrid_day1/images/peace_inverted/peace_inverted_00001.jpg,peace_inverted,peace,False,False,peace,0,13.77141974999995,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0028_peace_inverted_peace_inverted_00001.txt,8536.0,,,,,,
call_00002,data/hagrid_day1/images/call/call_00002.jpg,call,call,True,False,call,0,13.775496872000076,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0029_call_call_00002.txt,8526.0,,,,,,
two_up_00002,data/hagrid_day1/images/two_up/two_up_00002.jpg,two_up,peace,False,False,peace,0,13.6252137030001,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0030_two_up_two_up_00002.txt,8480.0,,,,,,
rock_00003,data/hagrid_day1/images/rock/rock_00003.jpg,rock,peace,False,False,peace,0,13.694823647000248,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0031_rock_rock_00003.txt,8524.0,,,,,,
ok_00001,data/hagrid_day1/images/ok/ok_00001.jpg,ok,ok,True,False,ok,0,13.659224441999868,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0032_ok_ok_00001.txt,8476.0,,,,,,
peace_inverted_00004,data/hagrid_day1/images/peace_inverted/peace_inverted_00004.jpg,peace_inverted,peace,False,False,peace,0,10.889797659000124,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0033_peace_inverted_peace_inverted_00004.txt,5849.0,,,,,,
no_gesture_00000,data/hagrid_day1/images/no_gesture/no_gesture_00000.jpg,no_gesture,no_gesture,True,False,no_gesture,0,14.082667490999938,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0034_no_gesture_no_gesture_00000.txt,8546.0,,,,,,
like_00001,data/hagrid_day1/images/like/like_00001.jpg,like,like,True,False,like,0,13.6021459159997,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0035_like_like_00001.txt,8463.0,,,,,,
ok_00002,data/hagrid_day1/images/ok/ok_00002.jpg,ok,ok,True,False,ok,0,13.722914993999893,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0036_ok_ok_00002.txt,8552.0,,,,,,
peace_inverted_00000,data/hagrid_day1/images/peace_inverted/peace_inverted_00000.jpg,peace_inverted,peace,False,False,peace,0,13.662979226000061,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0037_peace_inverted_peace_inverted_00000.txt,8470.0,,,,,,
dislike_00004,data/hagrid_day1/images/dislike/dislike_00004.jpg,dislike,dislike,True,False,dislike,0,13.792017937999844,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0038_dislike_dislike_00004.txt,8525.0,,,,,,
peace_inverted_00002,data/hagrid_day1/images/peace_inverted/peace_inverted_00002.jpg,peace_inverted,peace,False,False,peace,0,13.620985752000252,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0039_peace_inverted_peace_inverted_00002.txt,8473.0,,,,,,
two_up_inverted_00001,data/hagrid_day1/images/two_up_inverted/two_up_inverted_00001.jpg,two_up_inverted,one,False,False,one,0,13.641433635999874,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0040_two_up_inverted_two_up_inverted_00001.txt,8486.0,,,,,,
two_up_inverted_00000,data/hagrid_day1/images/two_up_inverted/two_up_inverted_00000.jpg,two_up_inverted,two_up,False,False,two_up,0,13.741558261000137,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0041_two_up_inverted_two_up_inverted_00000.txt,8435.0,,,,,,
ok_00003,data/hagrid_day1/images/ok/ok_00003.jpg,ok,ok,True,False,ok,0,10.79219401399996,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0042_ok_ok_00003.txt,5851.0,,,,,,
mute_00002,data/hagrid_day1/images/mute/mute_00002.jpg,mute,mute,True,False,mute,0,13.666457671999979,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0043_mute_mute_00002.txt,8475.0,,,,,,
one_00000,data/hagrid_day1/images/one/one_00000.jpg,one,one,True,False,one,0,13.692280553000273,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0044_one_one_00000.txt,8512.0,,,,,,
ok_00000,data/hagrid_day1/images/ok/ok_00000.jpg,ok,ok,True,False,ok,0,13.598881569000241,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0045_ok_ok_00000.txt,8462.0,,,,,,
call_00000,data/hagrid_day1/images/call/call_00000.jpg,call,call,True,False,call,0,12.76541473799989,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0046_call_call_00000.txt,7647.0,,,,,,
stop_inverted_00003,data/hagrid_day1/images/stop_inverted/stop_inverted_00003.jpg,stop_inverted,stop,False,False,stop,0,13.733656139999766,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0047_stop_inverted_stop_inverted_00003.txt,8526.0,,,,,,
one_00004,data/hagrid_day1/images/one/one_00004.jpg,one,one,True,False,one,0,13.711778685999889,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0048_one_one_00004.txt,8535.0,,,,,,
no_gesture_00004,data/hagrid_day1/images/no_gesture/no_gesture_00004.jpg,no_gesture,fist,False,False,fist,0,12.88423154200018,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0049_no_gesture_no_gesture_00004.txt,7633.0,,,,,,
no_gesture_00002,data/hagrid_day1/images/no_gesture/no_gesture_00002.jpg,no_gesture,no_gesture,True,False,no_gesture,0,14.006816586999776,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0050_no_gesture_no_gesture_00002.txt,8474.0,,,,,,
call_00004,data/hagrid_day1/images/call/call_00004.jpg,call,call,True,False,call,0,13.658132454999759,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0051_call_call_00004.txt,8497.0,,,,,,
three_00004,data/hagrid_day1/images/three/three_00004.jpg,three,three,True,False,three,0,13.781743239000207,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0052_three_three_00004.txt,8553.0,,,,,,
four_00004,data/hagrid_day1/images/four/four_00004.jpg,four,three,False,False,three,0,13.652324496999881,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0053_four_four_00004.txt,8465.0,,,,,,
three2_00001,data/hagrid_day1/images/three2/three2_00001.jpg,three2,peace,False,False,peace,0,13.583346414000061,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0054_three2_three2_00001.txt,8488.0,,,,,,
three2_00000,data/hagrid_day1/images/three2/three2_00000.jpg,three2,three,False,False,three,0,13.65586456300025,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0055_three2_three2_00000.txt,8538.0,,,,,,
four_00002,data/hagrid_day1/images/four/four_00002.jpg,four,four,True,False,four,0,13.733461487000113,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0056_four_four_00002.txt,8536.0,,,,,,
three2_00003,data/hagrid_day1/images/three2/three2_00003.jpg,three2,peace,False,False,peace,0,12.308664391000093,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0057_three2_three2_00003.txt,7242.0,,,,,,
stop_inverted_00004,data/hagrid_day1/images/stop_inverted/stop_inverted_00004.jpg,stop_inverted,no_gesture,False,False,no_gesture,0,13.987324110999907,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0058_stop_inverted_stop_inverted_00004.txt,8519.0,,,,,,
no_gesture_00001,data/hagrid_day1/images/no_gesture/no_gesture_00001.jpg,no_gesture,no_gesture,True,False,no_gesture,0,13.07884967300015,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0059_no_gesture_no_gesture_00001.txt,7643.0,,,,,,
fist_00003,data/hagrid_day1/images/fist/fist_00003.jpg,fist,fist,True,False,fist,0,13.80103249800004,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0060_fist_fist_00003.txt,8461.0,,,,,,
palm_00001,data/hagrid_day1/images/palm/palm_00001.jpg,palm,stop,False,False,stop,0,13.705636966999919,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0061_palm_palm_00001.txt,8506.0,,,,,,
call_00001,data/hagrid_day1/images/call/call_00001.jpg,call,call,True,False,call,0,13.604671974999746,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0062_call_call_00001.txt,8489.0,,,,,,
mute_00000,data/hagrid_day1/images/mute/mute_00000.jpg,mute,mute,True,False,mute,0,13.653227278000031,results/raw_cli/qwen3vl4b_q4_cli_balanced_95/0063_mute_mute_00000.txt,8441.0,,,,,,
